"Story","Title","Result","Date","Stability","Duration (s)"
"Serenity initial test","Get users fail","FAILURE","2019-11-10T12:19:14.495-05:00[America/Bogota]","0.0","4.41"
"Serenity initial test","Get users","SUCCESS","2019-11-10T12:19:18.988-05:00[America/Bogota]","0.0","0.03"
